Recipe Name	Yield	Ingredient Category	Inventory Item Match	Quantity	Unit	Line Cost	Total Unit Cost	Menu Price	COGS %																		
Small Matcha Latte (16oz)	1 Drink	Ingredient	SEN CHA Naturals Organic Everyday Matcha Powder	1	tsp	0.21	0.77	5.5	0.14																		
Small Matcha Latte (16oz)		Ingredient	HCF Whole Milk	10	oz	0.31																					
Small Matcha Latte (16oz)		Packaging	Karat C-KC16 16oz PET Plastic Cold Cups	1	unit	0.1																					
Small Matcha Latte (16oz)		Packaging	Karat Earth 16-24oz PET Dome Lids	1	unit	0.06																					
Small Matcha Latte (16oz)		Packaging	DuraHome 8in Plastic Wrapped Straws Black	1	unit	0.02																					
Small Matcha Latte (16oz)		Packaging	Next Day Flyers 2" Round Stickers	1	unit	0.05																					
																											
Large Matcha Latte (24oz)	1 Drink	Ingredient	SEN CHA Naturals Organic Everyday Matcha Powder	2	tsp	0.42	1.19	7.5	0.1586666667																		
Large Matcha Latte (24oz)		Ingredient	HCF Whole Milk	14	oz	0.44																					
Large Matcha Latte (24oz)		Packaging	Karat C-KC24 24oz PET Plastic Cold Cups	1	unit	0.1																					
Large Matcha Latte (24oz)		Packaging	Karat Earth 16-24oz PET Dome Lids	1	unit	0.06																					
Large Matcha Latte (24oz)		Packaging	DuraHome 8in Plastic Wrapped Straws Black	1	unit	0.02																					
Large Matcha Latte (24oz)		Packaging	Next Day Flyers 2" Round Stickers	1	unit	0.05																					
																											
Small Chai Latte (16oz)	1 Drink	Ingredient	Rishi Masala Chai (32 oz)	5	oz	0.91	1.29	5.5	0.2345454545																		
Small Chai Latte (16oz)		Ingredient	HCF Whole Milk	5	oz	0.16																					
Small Chai Latte (16oz)		Packaging	Karat C-KC16 16oz PET Plastic Cold Cups	1	unit	0.1																					
Small Chai Latte (16oz)		Packaging	Karat Earth 16-24oz PET Dome Lids	1	unit	0.05																					
Small Chai Latte (16oz)		Packaging	DuraHome 8in Plastic Wrapped Straws Black	1	unit	0.02																					
Small Chai Latte (16oz)		Packaging	Next Day Flyers 2" Round Stickers	1	unit	0.05																					
																											
Large Chai Latte (24oz)	1 Drink	Ingredient	Rishi Masala Chai (32 oz)	7	oz	1.28	1.67	7.5	0.2226666667																		
Large Chai Latte (24oz)		Ingredient	HCF Whole Milk	7	oz	0.22																					
Large Chai Latte (24oz)		Packaging	Karat C-KC24 24oz PET Plastic Cold Cups	1	unit	0.1																					
Large Chai Latte (24oz)		Packaging	Karat Earth 16-24oz PET Dome Lids	1	unit	0.05																					
Large Chai Latte (24oz)		Packaging	DuraHome 8in Plastic Wrapped Straws Black	1	unit	0.02																					
Large Chai Latte (24oz)		Packaging	Next Day Flyers 2" Round Stickers	1	unit	0.05																					
																											
Green Smoothie (16oz)	1 Drink	Ingredient	Fresh Granny Smith Apples	60	g	0.18	1.33	8	0.16625																		
Green Smoothie (16oz)		Ingredient	HEB Fresh Bananas	40	g	0.04																					
Green Smoothie (16oz)		Ingredient	Jif Peanut Butter (2 pack)	20	g	0.08																					
Green Smoothie (16oz)		Ingredient	HEB Spinach (9oz Bag)	30	g	0.2																					
Green Smoothie (16oz)		Ingredient	HEB Original Oat Milk	10	oz	0.61																					
Green Smoothie (16oz)		Packaging	Karat C-KC16 16oz PET Plastic Cold Cups	1	unit	0.1																					
Green Smoothie (16oz)		Packaging	Karat Earth 16-24oz PET Dome Lids	1	unit	0.05																					
Green Smoothie (16oz)		Packaging	DuraHome 8in Plastic Wrapped Straws Black	1	unit	0.02																					
Green Smoothie (16oz)		Packaging	Next Day Flyers 2" Round Stickers	1	unit	0.05																					
																											
Strawberry Smoothie (16oz)	1 Drink	Ingredient	HEB Whole Frozen Strawberries (5 lbs)	150	g	0.73	1.6	8	0.2																		
Strawberry Smoothie (16oz)		Ingredient	Hill Country Fare Strawberry Preserves (32 oz)	2	tbsp	0.13																					
Strawberry Smoothie (16oz)		Ingredient	HEB Original Coconut Milk	10	oz	0.52																					
Strawberry Smoothie (16oz)		Packaging	Karat C-KC16 16oz PET Plastic Cold Cups	1	unit	0.1																					
Strawberry Smoothie (16oz)		Packaging	Karat Earth 16-24oz PET Dome Lids	1	unit	0.05																					
